id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,Unnamed: 10,geometry
Escola Privada_1745450,Privada,Cr P Conv Pequeno Polegar,Rua,"Tomas de Souza Vila Real, 173",Parque Boturussu,3805030,Escola Privada,-23.504833,-46.481163,,POINT (-46.481163 -23.504833)
Escola Privada_1745451,Privada,Esc Part Doce Mel N R I,Rua,"Rolando Mario Ramacciotti, 98",Fazenda Aricanduva,8275580,Escola Privada,-23.567897,-46.481524,,POINT (-46.481524 -23.567897)
Escola Privada_1745457,Privada,Esc Part La Fontaine Baby Colegio,Rua,"Demetrio Ribeiro, 589",Cidade Mae do Ceu,3332000,Escola Privada,-23.552365,-46.57336,,POINT (-46.57336 -23.552365)
Escola Privada_1745461,Privada,Cei Indir Jorge Apovian,Rua,"Gingadinho, 405",Conjunto Habitacional Jardim Sao Bento,5886410,Escola Privada,-23.543837,-46.634102,,POINT (-46.634102 -23.543837)
Escola Privada_1745462,Privada,Cei Indir Issa Kurbhi,Rua,"Antonio Jose Bentes, 690",Jardim Irapiranga,5891160,Escola Privada,-23.665446,-46.789138,,POINT (-46.789138 -23.665446)
Escola Privada_1745473,Privada,Cei Indir Tomas de Aquino,Rua,"Arquiteto Roberto Patrao Assis, 114",Conjunto Promorar Sao Luis,5846100,Escola Privada,-23.657935,-46.7436,,POINT (-46.7436 -23.657935)
Escola Privada_1745507,Privada,Esc Part Fadelito Vila Mariana e I,Rua,"Morgado de Mateus, 287",Vila Mariana,4015050,Escola Privada,-23.586399,-46.644528,,POINT (-46.644528 -23.586399)
Escola Privada_1745508,Privada,Escola Pequeno Aprendiz,Rua,"Leite Ferraz, 39, 47, 74",Vila Mariana,4117120,Escola Privada,-23.588323,-46.628707,,POINT (-46.628707 -23.588323)
Escola Privada_1745514,Privada,Esc Part e R I Flechinha de Ouro,Rua,"Oscar Nelson, 55",Jordanopolis,4830410,Escola Privada,-23.73491,-46.701169,,POINT (-46.701169 -23.73491)
Escola Privada_1745515,Privada,Esc Part a Sementinha,Rua,"Gustavo Bacarisas, 65",Jardim Zilda,4856382,Escola Privada,-23.775037,-46.695265,,POINT (-46.695265 -23.775037)
